Compactness,Roundness,SF3,area,centroid-0,centroid-1,eccentricity,equivalent_diameter,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,solidity,grade
0.666639141,0.515602497,0.785515,44536,337.8378166,396.5430663,0.8245746,238.1281,100.8378,165.5431,357.2069,202.091,-1.49603,1041.845,0.812953,180
0.646775209,0.553059833,0.804867,44740,257.8651989,346.9764193,0.854327,238.6729,176.8652,107.9764,369.0198,191.7928,0.016208,1008.247,0.823471,180
0.642212184,0.515520245,0.763907,33871,231.2730359,347.152077,0.8417265,207.6678,140.273,147.1521,323.3632,174.5851,-1.02445,908.6488,0.779109,180
0.631627746,0.507609629,0.811143,44622,204.6657927,330.189727,0.8706849,238.3579,138.6658,148.1897,377.3709,185.6065,0.585526,1051.029,0.816251,180
0.647221212,0.543166516,0.797715,44139,201.9136591,339.2497111,0.8510288,237.0644,124.9137,125.2497,366.2803,192.3407,-0.76826,1010.531,0.815215,180
0.674939181,0.552443475,0.81493,44212,318.4850719,342.2275627,0.8291701,237.2603,154.4851,129.2276,351.5285,196.5031,0.853246,1002.839,0.823376,180
0.648083307,0.561304658,0.82651,52503,294.8705788,397.1767709,0.8612538,258.5515,105.8706,184.1768,398.948,202.7354,1.325075,1084.171,0.830533,180
0.650684881,0.528630258,0.776089,39410,353.7715808,378.2001776,0.8380822,224.0053,116.7716,151.2002,344.2608,187.8094,-1.40675,967.9037,0.790286,180
0.642186379,0.546380707,0.805672,43056,174.888796,342.9314614,0.8590599,234.138,95.8888,160.9315,364.5951,186.6271,1.301475,995.1169,0.814436,180
0.644262783,0.503570624,0.757017,38881,342.4401636,362.1282632,0.8362801,222.4968,132.4402,134.1283,345.351,189.3568,1.171147,985.0164,0.794674,180
0.655325739,0.571851526,0.810162,41645,240.2773202,315.1343739,0.8479468,230.2695,150.2773,129.1344,351.3818,186.261,0.302932,956.6316,0.826027,180
0.705303013,0.501789997,0.777639,51583,209.9988368,387.8583448,0.768628,256.2762,122.9988,178.8583,363.3562,232.4375,0.969226,1136.573,0.8042,180
0.616382119,0.51328206,0.776737,37400,280.5568984,340.8452139,0.8722097,218.2181,130.5569,105.8452,354.0306,173.1678,-0.58337,956.8915,0.784495,180
0.68686203,0.62525189,0.865555,39902,169.6412962,351.4944865,0.8383972,225.3992,113.6413,164.4945,328.1579,178.8657,0.840692,895.5189,0.872327,180
0.6514037,0.433015635,0.782453,41487,317.7227083,308.5468942,0.8401827,229.8323,167.7227,107.5469,352.8262,191.3389,0.552067,1097.259,0.811609,180
0.6954339,0.575334103,0.840974,48637,246.1658819,341.9885067,0.8180966,248.8505,120.1659,133.9885,357.8348,205.784,-0.979,1030.69,0.85415,180
0.673911701,0.582031148,0.844861,49136,190.2271451,353.2661592,0.8432305,250.1238,107.2271,164.2662,371.1521,199.5136,1.357243,1029.987,0.843175,180
0.638995121,0.525242409,0.785322,44062,195.781467,346.3920158,0.854207,236.8575,110.7815,135.392,370.6719,192.7246,-0.98654,1026.732,0.806657,180
0.660414388,0.477094107,0.83115,43091,198.1017382,354.8332366,0.8512555,234.2331,112.1017,175.8332,354.676,186.1167,0.965113,1065.36,0.837304,180
0.639668227,0.527459999,0.766539,46698,341.6708853,411.3894599,0.8456135,243.8396,146.6709,181.3895,381.197,203.4813,-1.25163,1054.774,0.791733,180
0.662017098,0.518314258,0.769225,42315,353.1934302,371.9494033,0.8218176,232.1145,119.1934,146.9494,350.617,199.7643,1.45895,1012.874,0.8032,180
0.639769255,0.512237518,0.759395,39893,305.1224024,362.8827363,0.8423136,225.3738,169.1224,136.8827,352.2736,189.8711,-0.40291,989.2763,0.805724,180
0.65561026,0.54257976,0.809062,43223,211.5230549,355.8543831,0.8472069,234.5916,102.5231,145.8544,357.8218,190.0975,-1.2139,1000.531,0.819347,180
0.616875753,0.482454345,0.785971,43117,156.6990978,357.3917016,0.8749796,234.3038,94.6991,174.3917,379.8233,183.8952,1.438405,1059.744,0.798759,180
0.692671687,0.490751755,0.788794,50842,300.9669565,310.6969041,0.7937357,254.4289,186.967,114.6969,367.3152,223.4242,0.470019,1140.999,0.812874,180
0.633909434,0.55151821,0.827958,41657,354.219627,385.2173224,0.8743256,230.3027,152.2196,167.2173,363.3054,176.3266,-1.01381,974.2468,0.843601,180
0.655317869,0.529617171,0.802117,44762,318.4224789,399.2384612,0.8446082,238.7315,145.4225,167.2385,364.2988,195.0401,-1.1397,1030.573,0.822453,180
0.671595053,0.59372006,0.862738,47691,250.1117611,375.8529073,0.852455,246.4185,116.1118,166.8529,366.9153,191.8235,0.951707,1004.69,0.871992,180
0.645626547,0.555302202,0.800592,44634,357.2340368,356.966483,0.853766,238.39,114.234,165.9665,369.2382,192.2464,1.418119,1005.016,0.815218,180
0.623347813,0.518697691,0.803642,42751,242.6183481,352.0849805,0.8753434,233.3072,102.6183,168.085,374.281,180.9655,1.490714,1017.703,0.816935,180
0.65487642,0.534338578,0.805729,41873,226.7734578,300.7687293,0.8465764,230.899,153.7735,94.76873,352.5841,187.6689,-0.09104,992.3473,0.844725,180
0.65269507,0.546474287,0.810175,39478,251.298622,305.6050458,0.8505922,224.1985,163.2986,90.60505,343.4965,180.6194,0.031949,952.791,0.810187,180
0.67776258,0.569154918,0.809086,43815,316.1095287,373.1528244,0.8231982,236.1927,104.1095,145.1528,348.4888,197.856,-1.24185,983.5605,0.83419,180
0.651660111,0.467850022,0.789298,38505,232.2954941,293.1855863,0.8429297,221.4184,133.2955,99.18559,339.7758,182.8075,-0.45159,1016.975,0.80279,180
0.649270821,0.49300963,0.791885,42629,364.1999109,353.47151,0.8465301,232.9741,105.1999,161.4715,358.8242,191.0168,-1.52545,1042.389,0.794309,180
0.610429706,0.525485417,0.785518,34909,354.0538257,337.8989945,0.8803268,210.8258,128.0538,137.899,345.3728,163.8337,1.20657,913.6783,0.804244,180
0.635249495,0.480824826,0.720888,41466,225.7697149,354.2818695,0.8286383,229.7741,132.7697,170.2819,361.7069,202.4779,-1.28511,1041.016,0.761417,180
0.629656094,0.518929289,0.806871,41598,295.9378576,383.6967162,0.8709546,230.1396,89.93786,156.6967,365.5004,179.5936,1.489768,1003.661,0.814992,180
0.667445569,0.564025615,0.842189,44779,170.97941,346.3936443,0.8486472,238.7769,90.97941,156.3936,357.7473,189.2338,1.530938,998.8326,0.847076,180
0.641766305,0.543166082,0.803133,46764,375.4082414,385.7000898,0.8584953,244.0118,100.4082,163.7001,380.2191,194.9845,-1.3274,1040.146,0.822325,180
0.641351217,0.505800395,0.760793,42548,345.5999577,364.2934333,0.8412402,232.7527,104.6,170.2934,362.9098,196.2114,-1.55717,1028.146,0.805803,180
0.60977709,0.533097239,0.782278,39069,187.930226,357.4556554,0.8798158,223.0341,112.9302,167.4557,365.7633,173.8527,0.919574,959.661,0.784518,180
0.656636371,0.57247658,0.863762,36305,373.7031538,379.8281779,0.8664994,214.9999,92.70315,153.8282,327.4261,163.444,1.15149,892.7077,0.85199,180
0.69082871,0.50021498,0.814047,54870,248.3113541,356.7343175,0.810122,264.3154,170.3114,126.7343,382.6063,224.3073,0.151577,1174.07,0.833346,180
0.662364022,0.510831314,0.749104,41104,345.4908525,370.0554204,0.8105509,228.769,117.4909,154.0554,345.3825,202.2796,-1.42739,1005.561,0.791329,180
0.638568005,0.536392718,0.808491,40649,176.7435607,344.1901154,0.8634946,227.4993,91.74356,166.1901,356.2647,179.685,1.257463,975.862,0.810031,180
0.608639161,0.545333771,0.850209,41857,359.0851709,360.9711637,0.9000889,230.8549,126.0852,187.9712,379.2968,165.262,-1.18605,982.1047,0.845306,180
0.684625969,0.575503348,0.822418,46388,230.2427136,305.1015133,0.8216998,243.0289,159.2427,103.1015,354.9805,202.3107,0.08357,1006.431,0.834002,180
0.674530051,0.575091399,0.821727,47076,179.2516144,361.1537726,0.8327158,244.8245,106.2516,163.1538,362.9556,200.9688,1.306262,1014.23,0.842403,180
0.647591748,0.532453357,0.838482,36582,279.3158111,373.808075,0.8659331,215.8186,84.31581,153.8081,333.2633,166.6849,1.506835,929.1758,0.828059,180
0.653596387,0.56536919,0.818494,38429,338.7522444,343.5420125,0.8529946,221.1997,94.75224,141.542,338.4348,176.6358,-1.26774,924.2052,0.845281,180
0.652434285,0.418841697,0.755175,34771,274.7071985,314.3689856,0.8259992,210.4087,149.7072,95.36899,322.4979,181.7828,0.514437,1021.383,0.642171,180
0.655000734,0.583987305,0.853465,45064,293.7924729,348.7032443,0.8644685,239.5355,144.7925,138.7032,365.7027,183.834,1.067475,984.7321,0.86394,180
0.656364375,0.525394748,0.800121,44179,355.0555468,364.9039363,0.8426664,237.1718,106.0555,166.9039,361.3416,194.5594,-1.55426,1027.945,0.819526,180
0.674735929,0.57369057,0.81786,40819,184.7460496,344.6796345,0.8307418,227.9745,97.74605,128.6796,337.8722,188.0792,-1.16304,945.5778,0.826965,180
0.656707348,0.603298034,0.866246,46194,285.0830411,360.894272,0.8672607,242.5202,125.083,160.8943,369.2972,183.8562,1.180662,980.9159,0.872046,180
0.654702641,0.538523264,0.788051,37884,315.1824517,331.6594077,0.8391378,219.6256,91.18245,130.6594,335.4586,182.4622,-1.21616,940.2224,0.80783,180
0.67355736,0.550078032,0.827109,52348,186.4967716,370.8619814,0.8361423,258.1696,107.4968,209.862,383.2927,210.2409,1.100855,1093.561,0.839489,180
0.644354565,0.568732553,0.82198,41584,309.512577,383.2919873,0.8630534,230.1008,157.5126,162.292,357.1028,180.3772,-0.90822,958.5483,0.833263,180
0.670387654,0.518904917,0.765437,40348,193.4716219,327.5504362,0.8094847,226.6554,117.4716,156.5504,338.096,198.51,0.685277,988.4895,0.816662,180
0.699266099,0.560184001,0.837514,41510,230.1870152,329.658781,0.8118695,229.896,151.187,150.6588,328.7676,191.9473,-0.59577,964.9747,0.850127,180
0.622358561,0.544508041,0.801074,35715,123.749125,292.3462411,0.8753369,213.2458,123.7491,133.3462,342.6413,165.6717,1.204059,907.8793,0.810783,180
0.730530645,0.508876178,0.780715,45612,312.4640226,309.4114926,0.7298828,240.9876,156.464,149.4115,329.8801,225.4969,-0.42828,1061.301,0.816658,180
0.657844897,0.508979705,0.754907,48078,181.3393028,346.3795499,0.8193718,247.4163,107.3393,152.3795,376.1012,215.6047,-1.26947,1089.502,0.790757,180
0.63261516,0.528794281,0.82103,49311,286.7061913,321.7023991,0.8731571,250.5688,181.7062,114.7024,396.0841,193.0668,0.47061,1082.514,0.831692,180
0.626431436,0.466467002,0.706974,37445,251.8124449,336.5281346,0.8318074,218.3494,100.8124,120.5281,348.5607,193.4736,-0.90714,1004.365,0.74986,180
0.650995293,0.525593339,0.777392,45842,269.2526286,361.3332533,0.8383388,241.5944,108.2526,143.3333,371.1154,202.3134,-1.10544,1046.916,0.813176,180
0.665781296,0.432351246,0.814177,45422,265.9551979,317.6201841,0.8388042,240.4851,166.9552,111.6202,361.2074,196.6533,0.042237,1148.999,0.814438,180
0.648740442,0.591626026,0.877407,45948,313.3398189,370.686254,0.87745,241.8735,115.3398,157.6863,372.8356,178.8374,1.407573,987.9037,0.868615,180
0.65392831,0.537462899,0.804746,42508,339.2315564,348.8072598,0.8471365,232.6432,94.23156,149.8073,355.7626,189.0435,1.476803,996.9331,0.553663,180
0.638183845,0.546981091,0.794774,41215,370.5390028,331.6278297,0.8587195,229.0776,96.539,147.6278,358.9524,183.9437,-1.29207,973.0753,0.813144,180
0.66306855,0.558206609,0.798938,42921,299.67559,360.3829361,0.8349632,233.7706,162.6756,124.3829,352.5588,194.0151,-0.17682,982.9747,0.810457,180
0.643235552,0.559140296,0.842108,43058,297.7817363,297.1516559,0.8709742,234.1434,180.7817,96.15166,364.0089,178.848,0.297244,983.7199,0.838373,180
